Pin Out For iCE40 Ultra (iCE5LP4k),,,,,,
FNC,Pin Type,BANK,Differential Pair,WLCS36,CM36A,SG48
IOB_0a,DPIO,2,TRUE_of_IOB_1b,-,D6,46
IOB_1b,DPIO,2,COMP_of_IOB_0a,-,D1,-
IOB_2a,DPIO,2,TRUE_of_IOB_3b,F6,C1,47
IOB_3b_G6,DPIO / GBIN,2,COMP_of_IOB_2a,E6,D2,44
IOB_4a,DPIO,2,TRUE_of_IOB_5b,D6,F1,48
IOB_5b,DPIO,2,COMP_of_IOB_4a,D5,E1,45
IOB_6a,DPIO,2,TRUE_of_IOB_7b,F5,F3,2
IOB_7b,DPIO,2,COMP_of_IOB_6a,E5,E2,-
IOB_8a,DPIO,2,TRUE_of_IOB_9b,-,F2,4
IOB_9b,DPIO,2,COMP_of_IOB_8a,-,-,3
IOB_10a,DPIO,1,TRUE_of_IOB_11b,B4,-,-
IOB_11b_G5,DPIO / GBIN,1,COMP_of_IOB_10a,F4,-,-
creset_b,CONFIG,1,,D3,F4,8
IOB_13b,PIO,1,,-,-,6
CDONE,CONFIG,1,,-,-,7
IOB_16a,PIO,1,,F3,-,9
IOB_18a,PIO,1,,-,-,10
IOB_20a,PIO,1,,E3,-,11
IOB_22a,DPIO,1,TRUE_of_IOB_23b,-,-,12
IOB_23b,DPIO,1,COMP_of_IOB_22a,-,-,21
IOB_24a,PIO,1,,-,-,13
IOB_25b_G3,PIO / GBIN,1,,C2,-,20
IOB_26a,DPIO,1,TRUE_of_IOB_27b,B1,-,-
IOB_27b,DPIO,1,COMP_of_IOB_26a,D2,-,-
IOB_29b,PIO,1,,E2,-,19
IOB_30a,DPIO,1,TRUE_of_IOB_31b,C1,-,-
IOB_31b,DPIO,1,COMP_of_IOB_30a,B2,-,18
IOB_32a_SPI_SO,PIO / CONFIG_SPI,1,,F2,F6,14
IOB_33b_SPI_SI,PIO / CONFIG_SPI,1,,D1,E5,17
IOB_34a_SPI_SCK,PIO / CONFIG_SPI,1,,E1,E6,15
IOB_35b_SPI_SS,PIO / CONFIG_SPI,1,,F1,F5,16
IOT_36b,DPIO,0,COMP_of_IOT_37a,-,B2,25
IOT_37a,DPIO,0,TRUE_of_IOT_36b,-,C2,23
IOT_38b,DPIO,0,COMP_of_IOT_39a,-,A3,27
IOT_39a,DPIO,0,TRUE_of_IOT_38b,-,-,26
IOT_41a,PIO,0,,-,-,28
IOT_42b,DPIO,0,COMP_of_IOT_43a,-,A4,31
IOT_43a,DPIO,0,TRUE_of_IOT_42b,-,-,32
IOT_44b,DPIO,0,COMP_of_IOT_45a,-,-,34
IOT_45a_G1,DPIO / GBIN,0,TRUE_of_IOT_44b,-,C6,37
IOT_46b_G0,PIO / GBIN,0,,B5,B6,35
IOT_48b,DPIO,0,COMP_of_IOT_49a,-,A5,36
IOT_49a,DPIO,0,TRUE_of_IOT_48b,-,-,43
IOT_50b,DPIO,0,COMP_of_IOT_51a,-,B5,38
IOT_51a,DPIO,0,TRUE_of_IOT_50b,-,-,42
RGB2,LED,0,,A6,A1,39
RGB1,LED,0,,B6,B1,40
RGB0,LED,0,,C6,A2,41
GND,GND,GND,,A3,C3,-
GND,GND,GND,,C5,C4,-
VCC,VCC,VCC,,A5,D3,5
VCC,VCC,VCC,,-,-,30
VCCIO_0,VCCIO,0,,A4,B3,33
VCCIO_2,VCCIO,2,,C4,E3,1
SPI_Vccio1,VCCIO,1,,C3,E4,22
VCCPLL,VCCPLL,VCCPLL,,B3,D4,29
VPP_2V5,VPP,VPP,,D4,B4,24
IOB_9b_CDONE,PIO / CONFIG,2,,-,D5,-
IOB_12A_G4_CDONE,PIO / GBIN / CONFIG,1,,E4,-,-
IRLED,IRLED,0,,A2,A6,-
GND_led,GND_LED,GND_LED,,A1,C5,-
